,before,date,effect,forecast,reality,state,time,title
99,8.17,2015-04-01,美元|金银 石油|,4.2,4.766,美国,22:30,当周EIA原油库存(百万)
100,9.622,2015-03-25,美元|金银 石油|,4.75,8.17,美国,22:30,当周EIA原油库存(百万)
101,4.512,2015-03-18,美元|金银 石油|,4.4,9.622,美国,22:30,当周EIA原油库存(百万)
102,10.303,2015-03-11,金银 石油|美元|,4.75,4.512,美国,22:30,当周EIA原油库存(百万)
103,8.427,2015-03-04,美元|金银 石油|,3.95,10.303,美国,23:30,当周EIA原油库存(百万)
104,7.716,2015-02-25,美元|金银 石油|,4,8.427,美国,23:30,当周EIA原油库存(百万)
105,4.868,2015-02-20,美元|金银 石油|,3,7.716,美国,00:00,当周EIA原油库存(百万)
106,6.333,2015-02-11,美元|金银 石油|,3.75,4.868,美国,23:30,当周EIA原油库存(百万)
107,8.874,2015-02-04,美元|金银 石油|,3.25,6.333,美国,23:30,当周EIA原油库存(百万)
108,10.071,2015-01-28,美元|金银 石油|,3.85,8.874,美国,23:30,当周EIA原油库存(百万)
109,5.389,2015-01-23,美元|金银 石油|,2.7,10.071,美国,00:00,当周EIA原油库存(百万)
110,-3.062,2015-01-14,美元|金银 石油|,1.75,5.389,美国,23:30,当周EIA原油库存(百万)
111,-1.754,2015-01-07,金银 石油|美元|,70,-3.062,美国,23:30,当周EIA原油库存(百万)
112,7.267,2014-12-31,金银 石油|美元|,90,-1.754,美国,23:30,当周EIA原油库存(百万)
113,-84.7,2014-12-24,美元|金银 石油|,-2.5,7.267,美国,23:30,当周EIA原油库存(万)
114,1.454,2014-12-17,金银 石油|美元|,-2.25,-84.7,美国,23:30,当周EIA原油库存(百万)
115,-3.689,2014-12-10,美元|金银 石油|,-2.7,1.454,美国,23:30,当周EIA原油库存(百万)
116,1.946,2014-12-03,金银 石油|美元|,1.75,-3.689,美国,23:30,当周EIA原油库存(百万)
117,2.608,2014-11-26,金银 石油|美元|,25,1.946,美国,23:30,当周EIA原油库存(百万)
