,addtime,befores,content,country,forecast,id,importance,influence,nid,publish,publishtime,shorttime,time,type
39,1349274630,-244.6,美国至9月28日当周EIA原油库存(万桶),美国,150,40,3,利多,0,-48.2,2017/03/01 23:30:00,12年10月3,2012年10月3日,1
40,1349965830,-48.2,美国10月5日当周API原油库存(万桶),美国,150,41,3,利空,0,167.2,2017/03/01 23:30:00,12年10月11,2012年10月11日,1
41,1350484230,167.2,美国10月12日当周EIA原油库存(万桶),美国,150,42,3,利空,0,286,2017/03/01 23:30:00,12年10月17,2012年10月17日,1
42,1351089030,286,美国至10月19日当周EIA原油库存(万桶),美国,180,43,3,利空,0,589.6,2017/03/01 23:30:00,12年10月24,2012年10月24日,1
43,1351780230,589.6,美国至10月27日当周EIA原油库存(万桶),美国,180,44,3,利多,0,-204.5,2017/03/01 23:30:00,12年11月1,2012年11月1日,1
44,1352298630,-204.5,美国至11月2日当周EIA原油库存(万桶),美国,200,45,3,利多,0,176.6,2017/03/01 23:30:00,12年11月7,2012年11月7日,1
45,1353076230,176.6,美国至11月9日当周EIA原油库存(万桶),美国,265,46,3,利多,0,108.9,2017/03/01 23:30:00,12年11月16,2012年11月16日,1
46,1353508230,108.9,美国至11月17日当周EIA原油库存(万桶),美国,100,47,3,利多,0,-146.6,2017/03/01 23:30:00,12年11月21,2012年11月21日,1
47,1354113030,-146.6,美国至11月23日当周EIA原油库存(万桶),美国,35,48,3,利多,0,-34.7,2017/03/01 23:30:00,12年11月28,2012年11月28日,1
48,1354717830,-34.7,美国至11月30日当周EIA原油库存(万桶),美国,-50,49,3,利多,0,-235.7,2017/03/01 23:30:00,12年12月5,2012年12月5日,1
49,1355322630,-235.7,美国12月7日当周EIA原油库存(万桶),美国,-250,50,3,利空,0,84.3,2017/03/01 23:30:00,12年12月12,2012年12月12日,1
50,1355927430,84.3,美国至12月14日当周EIA原油库存(万桶),美国,-175,51,3,利空,0,-96.4,2017/03/01 23:30:00,12年12月19,2012年12月19日,1
51,1356791430,-96.4,美国至12月21日当周EIA原油库存(万桶),美国,-175,52,3,利空,0,-58.6,2017/03/01 23:30:00,12年12月29,2012年12月29日,1
52,1357396230,-58.6,美国至12月28日当周EIA原油库存(万桶),美国,-100,53,3,利多,0,-1112,2017/03/01 23:30:00,13年1月5,2013年1月5日,1
53,1357741830,-1112,美国至1月4日当周EIA原油库存(万桶),美国,200,54,3,利多,0,131.4,2017/03/01 23:30:00,13年1月9,2013年1月9日,1
54,1358346630,131.4,美国至1月11日当周EIA原油库存(万桶),美国,220,55,3,利多,0,-95.1,2017/03/01 23:30:00,13年1月16,2013年1月16日,1
55,1359124230,-95.1,美国至1月18日当周EIA原油库存(万桶),美国,215,56,3,利空,0,281.3,2017/03/01 23:30:00,13年1月25,2013年1月25日,1
56,1359556230,281.3,美国至1月25日当周EIA原油库存(万桶),美国,250,57,3,利空,0,594.7,2017/03/01 23:30:00,13年1月30,2013年1月30日,1
57,1360161030,594.7,美国至2月1日当周EIA原油库存(万桶),美国,265,58,3,利多,0,262.3,2017/03/01 23:30:00,13年2月6,2013年2月6日,1
58,1360765830,262.3,美国至2月8日当周EIA原油库存(万桶),美国,220,59,3,利多,0,56,2017/03/01 23:30:00,13年2月13,2013年2月13日,1
59,1361543430,56,美国至2月15日当周EIA原油库存(万桶),美国,200,60,3,利空,0,414.3,2017/03/01 23:30:00,13年2月22,2013年2月22日,1
60,1361975430,414.3,美国至2月22日当周EIA原油库存(万桶),美国,250,61,3,利多,0,113,2017/03/01 23:30:00,13年2月27,2013年2月27日,1
61,1362580230,113,美国至3月1日当周EIA原油库存(万桶),美国,78.8,62,3,利空,0,383.3,2017/03/01 23:30:00,13年3月6,2013年3月6日,1
62,1363185030,383.3,美国至3月8日当周EIA原油库存(万桶),美国,230,63,3,利空,0,262.4,2017/03/01 23:30:00,13年3月13,2013年3月13日,1
63,1363789830,262.4,美国3月15日当周EIA原油库存(万桶),美国,200,64,3,利多,0,-131.4,2017/03/01 23:30:00,13年3月20,2013年3月20日,1
64,1364394630,-131.4,美国至3月22日当周EIA原油库存(万桶),美国,132.5,65,3,利空,0,325.6,2017/03/01 23:30:00,13年3月27,2013年3月27日,1
65,1364999430,325.6,美国至3月29日当周EIA原油库存(万桶),美国,205,66,3,利空,0,270.7,2017/03/01 23:30:00,13年4月3,2013年4月3日,1
66,1365604230,270.7,美国至4月5日当周EIA原油库存(万桶),美国,150,67,3,利多,0,25,2017/03/01 23:30:00,13年4月10,2013年4月10日,1
67,1366209030,25,美国4月12日当周EIA原油库存(万桶),美国,120,68,3,利多,0,-123.3,2017/03/01 23:30:00,13年4月17,2013年4月17日,1
68,1366813830,-123.3,美国4月19日当周API原油库存(万桶),美国,200,69,3,利多,0,94.7,2017/03/01 23:30:00,13年4月24,2013年4月24日,1
69,1367418630,94.7,美国至4月26日当周EIA原油库存(万桶),美国,110,70,3,利空,0,669.6,2017/03/01 23:30:00,13年5月1,2013年5月1日,1
70,1368023430,669.6,美国至5月3日当周EIA原油库存(万桶),美国,200,71,3,利多,0,23,2017/03/01 23:30:00,13年5月8,2013年5月8日,1
71,1368628230,23,美国5月10日当周EIA原油库存(万桶),美国,45,72,3,利多,0,-62.4,2017/03/01 23:30:00,13年5月15,2013年5月15日,1
72,1369233030,-62.4,美国至5月17日当周EIA原油库存(万桶),美国,-100,73,3,利空,0,-33.8,2017/03/01 23:30:00,13年5月22,2013年5月22日,1
73,1369924230,-33.8,美国至5月24日当周EIA原油库存(万桶),美国,-50,74,3,利空,0,300,2017/03/01 23:30:00,13年5月30,2013年5月30日,1
74,1370442630,300,美国至5月31日当周EIA原油库存(万桶),美国,-80,75,3,利多,0,-626.7,2017/03/01 23:30:00,13年6月5,2013年6月5日,1
75,1371047430,-626.7,美国6月7日当周EIA原油库存(万桶),美国,-150,76,3,利空,0,252.3,2017/03/01 23:30:00,13年6月12,2013年6月12日,1
76,1371652230,252.3,美国至6月14日当周EIA原油库存(万桶),美国,-50,77,3,利空,0,31.3,2017/03/01 23:30:00,13年6月19,2013年6月19日,1
77,1372257030,31.3,美国至6月21日当周EIA原油库存(万桶),美国,-175,78,3,利空,0,1.8,2017/03/01 23:30:00,13年6月26,2013年6月26日,1
78,1372861830,1.8,美国至6月29日当周EIA原油库存(万桶),美国,-225,79,3,利多,0,-1034.7,2017/03/01 23:30:00,13年7月3,2013年7月3日,1
79,1373466630,-1034.7,美国至7月5日当周EIA原油库存(万桶),美国,-320,80,3,利多,0,-987.4,2017/03/01 23:30:00,13年7月10,2013年7月10日,1
80,1374071430,-987.4,美国7月12日当周EIA原油库存(万桶),美国,-200,81,3,利多,0,-690.2,2017/03/01 23:30:00,13年7月17,2013年7月17日,1
81,1374676230,-690.2,美国至7月19日当周EIA原油库存(万桶),美国,-280,82,3,利多,0,-282.5,2017/03/01 23:30:00,13年7月24,2013年7月24日,1
82,1375281030,-282.5,美国至7月26日当周EIA原油库存(万桶),美国,-245,83,3,利空,0,43.1,2017/03/01 23:30:00,13年7月31,2013年7月31日,1
83,1375885830,43.1,美国至8月2日当周EIA原油库存(万桶),美国,-150,84,3,利空,0,-132,2017/03/01 23:30:00,13年8月7,2013年8月7日,1
84,1376490630,-132,美国8月9日当周EIA原油库存(万桶),美国,-150,85,3,利多,0,-281.2,2017/03/01 23:30:00,13年8月14,2013年8月14日,1
85,1377095430,-281.2,美国至8月16日当周EIA原油库存(万桶),美国,-150,86,3,利空,0,-142.8,2017/03/01 23:30:00,13年8月21,2013年8月21日,1
86,1377700230,-142.8,美国至8月23日当周EIA原油库存(万桶),美国,75,87,3,利空,0,298.6,2017/03/01 23:30:00,13年8月28,2013年8月28日,1
87,1378391430,298.6,美国至8月30日当周EIA原油库存(万桶),美国,-200,88,3,利空,0,-183.6,2017/03/01 23:30:00,13年9月5,2013年9月5日,1
88,1378909830,-183.6,美国9月6日当周EIA原油库存(万桶),美国,-210,89,3,利空,0,-21.9,2017/03/01 23:30:00,13年9月11,2013年9月11日,1
89,1379514630,-21.9,美国至9月13日当周EIA原油库存(万桶),美国,-120,90,3,利多,0,-436.8,2017/03/01 23:30:00,13年9月18,2013年9月18日,1
90,1380119430,-436.8,美国至9月20日当周EIA原油库存(万桶),美国,-100,91,3,利空,0,263.5,2017/03/01 23:30:00,13年9月25,2013年9月25日,1
91,1380724230,263.5,美国至9月27日当周EIA原油库存(万桶),美国,250,92,3,利空,0,547.2,2017/03/01 23:30:00,13年10月2,2013年10月2日,1
92,1381329030,547.2,美国至10月4日当周EIA原油库存(万桶),美国,155,93,3,利空,0,680.7,2017/03/01 23:30:00,13年10月9,2013年10月9日,1
93,1382365830,680.7,美国至10月11日当周EIA原油库存(万桶),美国,300,94,3,利空,0,399.9,2017/03/01 23:30:00,13年10月21,2013年10月21日,1
94,1382538630,399.9,美国至10月18日当周EIA原油库存(万桶),美国,300,95,3,利空,0,524.6,2017/03/01 23:30:00,13年10月23,2013年10月23日,1
95,1383143430,524.6,美国至10月25日当周EIA原油库存(万桶),美国,240,96,3,利空,0,408.7,2017/03/01 23:30:00,13年10月30,2013年10月30日,1
96,1383748230,408.7,美国至11月1日当周EIA原油库存(万桶),美国,210,97,3,利多,0,157.7,2017/03/01 23:30:00,13年11月6,2013年11月6日,1
97,1384525830,157.7,美国至11月8日当周EIA原油库存(万桶),美国,80,98,3,利空,0,264,2017/03/01 23:30:00,13年11月15,2013年11月15日,1
98,1384957830,264,美国至11月15日当周EIA原油库存(万桶),美国,100,99,3,利多,0,37.5,2017/03/01 23:30:00,13年11月20,2013年11月20日,1
99,1385562630,37.5,美国至11月23日当周EIA原油库存(万桶),美国,75,100,3,利空,0,295.3,2017/03/01 23:30:00,13年11月27,2013年11月27日,1
100,1386167430,295.3,美国至11月29日当周EIA原油库存(万桶),美国,-50,101,3,利多,0,-558.5,2017/03/01 23:30:00,13年12月4,2013年12月4日,1
101,1386772230,-558.5,美国至12月6日当周EIA原油库存(万桶),美国,-300,102,3,利多,0,-1058.5,2017/03/01 23:30:00,13年12月11,2013年12月11日,1
102,1387377030,-1058.5,美国12月13日当周API原油库存(万桶),美国,-350,103,3,利空,0,-294.1,2017/03/01 23:30:00,13年12月18,2013年12月18日,1
103,1388241030,-294.1,美国至12月20日当周EIA原油库存(万桶),美国,-265,104,3,利多,0,-473.1,2017/03/01 23:30:00,13年12月28,2013年12月28日,1
104,1388845830,-473.1,美国至12月27日当周EIA原油库存(万桶),美国,-282.5,105,3,利多,0,-700.7,2017/03/01 23:30:00,14年1月4,2014年1月4日,1
105,1389191430,-700.7,美国至1月3日当周EIA原油库存(万桶),美国,-275,106,3,利空,0,-267.5,2017/03/01 23:30:00,14年1月8,2014年1月8日,1
106,1389796230,-267.5,美国至1月10日当周EIA原油库存(万桶),美国,-130,107,3,利多,0,-765.8,2017/03/01 23:30:00,14年1月15,2014年1月15日,1
